scene_id,path,has_pose,has_metadata,lidar_sweeps,radar_sweeps,camera_views,camera_frames,pose_path,num_cameras,num_frames_total
0d9e4cff-73ff-33eb-9981-795475e62faf,/mnt/db/av_dataset/sensor/train/0d9e4cff-73ff-33eb-9981-795475e62faf,True,False,156,0,"['stereo_front_right', 'ring_side_left', 'ring_rear_left', 'ring_rear_right', 'ring_front_right', 'stereo_front_left', 'ring_side_right', 'ring_front_left', 'ring_front_center']","{'stereo_front_right': 319, 'ring_side_left': 319, 'ring_rear_left': 319, 'ring_rear_right': 319, 'ring_front_right': 319, 'stereo_front_left': 319, 'ring_side_right': 320, 'ring_front_left': 320, 'ring_front_center': 319}",/mnt/db/av_dataset/sensor/train/0d9e4cff-73ff-33eb-9981-795475e62faf/city_SE3_egovehicle.feather,9,2873
545ea917-a910-3013-a3f1-52a86dd6c8b1,/mnt/db/av_dataset/sensor/train/545ea917-a910-3013-a3f1-52a86dd6c8b1,True,False,157,0,"['stereo_front_right', 'ring_side_left', 'ring_rear_left', 'ring_rear_right', 'ring_front_right', 'stereo_front_left', 'ring_side_right', 'ring_front_left', 'ring_front_center']","{'stereo_front_right': 320, 'ring_side_left': 319, 'ring_rear_left': 319, 'ring_rear_right': 319, 'ring_front_right': 319, 'stereo_front_left': 320, 'ring_side_right': 319, 'ring_front_left': 319, 'ring_front_center': 320}",/mnt/db/av_dataset/sensor/train/545ea917-a910-3013-a3f1-52a86dd6c8b1/city_SE3_egovehicle.feather,9,2874
20b00c37-4fe4-31dc-a258-dae253ae6992,/mnt/db/av_dataset/sensor/train/20b00c37-4fe4-31dc-a258-dae253ae6992,True,False,157,0,"['stereo_front_right', 'ring_side_left', 'ring_rear_left', 'ring_rear_right', 'ring_front_right', 'stereo_front_left', 'ring_side_right', 'ring_front_left', 'ring_front_center']","{'stereo_front_right': 319, 'ring_side_left': 319, 'ring_rear_left': 319, 'ring_rear_right': 320, 'ring_front_right': 319, 'stereo_front_left': 319, 'ring_side_right': 319, 'ring_front_left': 320, 'ring_front_center': 319}",/mnt/db/av_dataset/sensor/train/20b00c37-4fe4-31dc-a258-dae253ae6992/city_SE3_egovehicle.feather,9,2873
1d950a38-5c2f-39ce-9cd3-61249bc85194,/mnt/db/av_dataset/sensor/train/1d950a38-5c2f-39ce-9cd3-61249bc85194,True,False,157,0,"['stereo_front_right', 'ring_side_left', 'ring_rear_left', 'ring_rear_right', 'ring_front_right', 'stereo_front_left', 'ring_side_right', 'ring_front_left', 'ring_front_center']","{'stereo_front_right': 319, 'ring_side_left': 319, 'ring_rear_left': 319, 'ring_rear_right': 320, 'ring_front_right': 319, 'stereo_front_left': 319, 'ring_side_right': 319, 'ring_front_left': 320, 'ring_front_center': 319}",/mnt/db/av_dataset/sensor/train/1d950a38-5c2f-39ce-9cd3-61249bc85194/city_SE3_egovehicle.feather,9,2873
01bb304d-7bd8-35f8-bbef-7086b688e35e,/mnt/db/av_dataset/sensor/train/01bb304d-7bd8-35f8-bbef-7086b688e35e,True,False,156,0,"['stereo_front_right', 'ring_side_left', 'ring_rear_left', 'ring_rear_right', 'ring_front_right', 'stereo_front_left', 'ring_side_right', 'ring_front_left', 'ring_front_center']","{'stereo_front_right': 319, 'ring_side_left': 319, 'ring_rear_left': 319, 'ring_rear_right': 319, 'ring_front_right': 319, 'stereo_front_left': 319, 'ring_side_right': 320, 'ring_front_left': 319, 'ring_front_center': 319}",/mnt/db/av_dataset/sensor/train/01bb304d-7bd8-35f8-bbef-7086b688e35e/city_SE3_egovehicle.feather,9,2872
47358aac-2ec0-3d45-a837-f2069ca7cee3,/mnt/db/av_dataset/sensor/train/47358aac-2ec0-3d45-a837-f2069ca7cee3,True,False,196,0,"['stereo_front_right', 'ring_side_left', 'ring_rear_left', 'ring_rear_right', 'ring_front_right', 'stereo_front_left', 'ring_side_right', 'ring_front_left', 'ring_front_center']","{'stereo_front_right': 399, 'ring_side_left': 399, 'ring_rear_left': 399, 'ring_rear_right': 400, 'ring_front_right': 399, 'stereo_front_left': 399, 'ring_side_right': 399, 'ring_front_left': 400, 'ring_front_center': 399}",/mnt/db/av_dataset/sensor/train/47358aac-2ec0-3d45-a837-f2069ca7cee3/city_SE3_egovehicle.feather,9,3593
5c1db299-e2a2-35e5-84dd-acda8fb393bc,/mnt/db/av_dataset/sensor/train/5c1db299-e2a2-35e5-84dd-acda8fb393bc,True,False,157,0,"['stereo_front_right', 'ring_side_left', 'ring_rear_left', 'ring_rear_right', 'ring_front_right', 'stereo_front_left', 'ring_side_right', 'ring_front_left', 'ring_front_center']","{'stereo_front_right': 319, 'ring_side_left': 319, 'ring_rear_left': 320, 'ring_rear_right': 319, 'ring_front_right': 319, 'stereo_front_left': 319, 'ring_side_right': 319, 'ring_front_left': 319, 'ring_front_center': 319}",/mnt/db/av_dataset/sensor/train/5c1db299-e2a2-35e5-84dd-acda8fb393bc/city_SE3_egovehicle.feather,9,2872
35a15c5c-fa4a-3838-a724-396e112ec95c,/mnt/db/av_dataset/sensor/train/35a15c5c-fa4a-3838-a724-396e112ec95c,True,False,156,0,"['stereo_front_right', 'ring_side_left', 'ring_rear_left', 'ring_rear_right', 'ring_front_right', 'stereo_front_left', 'ring_side_right', 'ring_front_left', 'ring_front_center']","{'stereo_front_right': 319, 'ring_side_left': 319, 'ring_rear_left': 319, 'ring_rear_right': 320, 'ring_front_right': 319, 'stereo_front_left': 319, 'ring_side_right': 319, 'ring_front_left': 319, 'ring_front_center': 319}",/mnt/db/av_dataset/sensor/train/35a15c5c-fa4a-3838-a724-396e112ec95c/city_SE3_egovehicle.feather,9,2872
0d8aab9f-4edf-3fb3-895a-ba64e8f2cfb2,/mnt/db/av_dataset/sensor/train/0d8aab9f-4edf-3fb3-895a-ba64e8f2cfb2,True,False,157,0,"['stereo_front_right', 'ring_side_left', 'ring_rear_left', 'ring_rear_right', 'ring_front_right', 'stereo_front_left', 'ring_side_right', 'ring_front_left', 'ring_front_center']","{'stereo_front_right': 319, 'ring_side_left': 319, 'ring_rear_left': 320, 'ring_rear_right': 319, 'ring_front_right': 319, 'stereo_front_left': 319, 'ring_side_right': 319, 'ring_front_left': 319, 'ring_front_center': 319}",/mnt/db/av_dataset/sensor/train/0d8aab9f-4edf-3fb3-895a-ba64e8f2cfb2/city_SE3_egovehicle.feather,9,2872
35f32393-e82f-3b20-b214-1f6a43d60f23,/mnt/db/av_dataset/sensor/train/35f32393-e82f-3b20-b214-1f6a43d60f23,True,False,156,0,"['stereo_front_right', 'ring_side_left', 'ring_rear_left', 'ring_rear_right', 'ring_front_right', 'stereo_front_left', 'ring_side_right', 'ring_front_left', 'ring_front_center']","{'stereo_front_right': 319, 'ring_side_left': 319, 'ring_rear_left': 319, 'ring_rear_right': 319, 'ring_front_right': 320, 'stereo_front_left': 319, 'ring_side_right': 319, 'ring_front_left': 319, 'ring_front_center': 319}",/mnt/db/av_dataset/sensor/train/35f32393-e82f-3b20-b214-1f6a43d60f23/city_SE3_egovehicle.feather,9,2872
