scene_id,path,camera_view,camera_path,num_frames_total,pose_path,has_poses
0c6e62d7-bdfa-3061-8d3d-03b13aa21f68,/mnt/db/av_dataset/sensor/test/0c6e62d7-bdfa-3061-8d3d-03b13aa21f68,ring_front_center,/mnt/db/av_dataset/sensor/test/0c6e62d7-bdfa-3061-8d3d-03b13aa21f68/sensors/cameras/ring_front_center,319,/mnt/db/av_dataset/sensor/test/0c6e62d7-bdfa-3061-8d3d-03b13aa21f68/city_SE3_egovehicle.feather,True
0f0cdd79-bc6c-35cd-9d99-7ae2fc7e165c,/mnt/db/av_dataset/sensor/test/0f0cdd79-bc6c-35cd-9d99-7ae2fc7e165c,ring_front_center,/mnt/db/av_dataset/sensor/test/0f0cdd79-bc6c-35cd-9d99-7ae2fc7e165c/sensors/cameras/ring_front_center,399,/mnt/db/av_dataset/sensor/test/0f0cdd79-bc6c-35cd-9d99-7ae2fc7e165c/city_SE3_egovehicle.feather,True
0fdbd56a-1ff7-3624-81f9-03cd68fd5616,/mnt/db/av_dataset/sensor/test/0fdbd56a-1ff7-3624-81f9-03cd68fd5616,ring_front_center,/mnt/db/av_dataset/sensor/test/0fdbd56a-1ff7-3624-81f9-03cd68fd5616/sensors/cameras/ring_front_center,319,/mnt/db/av_dataset/sensor/test/0fdbd56a-1ff7-3624-81f9-03cd68fd5616/city_SE3_egovehicle.feather,True
11a84740-18a3-3798-91c5-21dc9c765350,/mnt/db/av_dataset/sensor/test/11a84740-18a3-3798-91c5-21dc9c765350,ring_front_center,/mnt/db/av_dataset/sensor/test/11a84740-18a3-3798-91c5-21dc9c765350/sensors/cameras/ring_front_center,320,/mnt/db/av_dataset/sensor/test/11a84740-18a3-3798-91c5-21dc9c765350/city_SE3_egovehicle.feather,True
131bd3d9-4f85-3ba3-b569-eb88308d79d5,/mnt/db/av_dataset/sensor/test/131bd3d9-4f85-3ba3-b569-eb88308d79d5,ring_front_center,/mnt/db/av_dataset/sensor/test/131bd3d9-4f85-3ba3-b569-eb88308d79d5/sensors/cameras/ring_front_center,319,/mnt/db/av_dataset/sensor/test/131bd3d9-4f85-3ba3-b569-eb88308d79d5/city_SE3_egovehicle.feather,True
14896a70-a440-34d0-b68e-fd9882557da6,/mnt/db/av_dataset/sensor/test/14896a70-a440-34d0-b68e-fd9882557da6,ring_front_center,/mnt/db/av_dataset/sensor/test/14896a70-a440-34d0-b68e-fd9882557da6/sensors/cameras/ring_front_center,320,/mnt/db/av_dataset/sensor/test/14896a70-a440-34d0-b68e-fd9882557da6/city_SE3_egovehicle.feather,True
1613c3d4-6350-37dc-9633-17125d9b6083,/mnt/db/av_dataset/sensor/test/1613c3d4-6350-37dc-9633-17125d9b6083,ring_front_center,/mnt/db/av_dataset/sensor/test/1613c3d4-6350-37dc-9633-17125d9b6083/sensors/cameras/ring_front_center,319,/mnt/db/av_dataset/sensor/test/1613c3d4-6350-37dc-9633-17125d9b6083/city_SE3_egovehicle.feather,True
1ad57a00-cc61-3f5f-9e2a-9981a57e9856,/mnt/db/av_dataset/sensor/test/1ad57a00-cc61-3f5f-9e2a-9981a57e9856,ring_front_center,/mnt/db/av_dataset/sensor/test/1ad57a00-cc61-3f5f-9e2a-9981a57e9856/sensors/cameras/ring_front_center,319,/mnt/db/av_dataset/sensor/test/1ad57a00-cc61-3f5f-9e2a-9981a57e9856/city_SE3_egovehicle.feather,True
1bd7db3a-0b42-31cf-ac1a-de88fd9fa721,/mnt/db/av_dataset/sensor/test/1bd7db3a-0b42-31cf-ac1a-de88fd9fa721,ring_front_center,/mnt/db/av_dataset/sensor/test/1bd7db3a-0b42-31cf-ac1a-de88fd9fa721/sensors/cameras/ring_front_center,319,/mnt/db/av_dataset/sensor/test/1bd7db3a-0b42-31cf-ac1a-de88fd9fa721/city_SE3_egovehicle.feather,True
1c8648f9-e7a1-3056-a2c0-19c8827a6a50,/mnt/db/av_dataset/sensor/test/1c8648f9-e7a1-3056-a2c0-19c8827a6a50,ring_front_center,/mnt/db/av_dataset/sensor/test/1c8648f9-e7a1-3056-a2c0-19c8827a6a50/sensors/cameras/ring_front_center,319,/mnt/db/av_dataset/sensor/test/1c8648f9-e7a1-3056-a2c0-19c8827a6a50/city_SE3_egovehicle.feather,True
